signature_hash,block_time_utc,r_component_hex,message_hash_hex
4zPxKdDawgmas8bkMNSpSj4g718VQeQdFXJ8TxKaB5NGmdL66P2qVZLGpdoq1PVcqwXmBSCXAWZ5M6LmbkWRRKe2,1970-01-01 07:00:00,c78c02ae6cf65abfd9132c9007d9f39182548b58a77733131d4253d230e1f7ce,b71c85342893987cc1cb81d89ab019fabe30c1be74cc83b63da459b5ba1da331
s14KJ4ZMAfnG28dqNMUyLAUEMqR4qAugh6mqGUrnNPhopTfMt8tgWypxmSNQ2vDAxSg6CkM68iYp9RLNxpkXw2z,1970-01-01 07:00:00,2b1e73a2c50e4eef1bf034b4d108be9c2fd9be2b1d26460bd78c51bff897a569,59bf05b6067096979a956617dba40f17b3ac9d7ea76f0ec3956f570ec8daa4ba
4oiRDYK3Ei2aRjkGC97vFwMyhKpP8Vo7S4Nt5iUZNNRM8cVYMxZWa6N1ZjwTi6Ta78jSQLWRTRNTmyronwByJkGk,1970-01-01 07:00:00,be55e08d01746cd2060cc577fb712e7e3d2e3d5479af799017fbc67854049b30,d28099da6025052dc44e561adc6e7c4e9032a42e8e2f49f061699bab9d673071
3RkpiJLzd2SPiCKWRKYWgJByKJ8EzBA938RdMZK2Z5DaPpwuT12CnzXgDc4cYZK7TUs6XKvGVnJjP4F4WWXvyHAv,1970-01-01 07:00:00,7961db67fc278f96648db27ec081981a4975717e1de92949bfd79eab4b5c56ce,66ec3d16a4429718ec501eec51495d26a42c04dc5b01db1d74b20fee83fb8de3
4APj4LgZjLUm58Wk3ZMctETXhWb1NdbAE19DcXtuGHwNVePBcQ3PPY6MT6t2hweLM4aqeWjESAkmtKuqoCwkYdbw,1970-01-01 07:00:00,9e266f6ed41edb07fc12ce290ff2576dfd106acc8fc7f5656429ac6244a329d4,5d00686b1a265e973a05cad083a46b032d6ebdb40cd4060ba42953a191b86c35
e9rnDNVVVCZnTuWowoUFY9GaGD8FUJckF52gYT7BBTg78gggSYxdBVnrgUmLKCucbCHYmp8Gy4AmXgUz3jo8G8P,1970-01-01 07:00:00,200a02a789138f630f79ac68b292d9d66fa87eb357dda18df89ae0bb117d3741,75268af04346f6b32dff3500cd775ccd86166284e464cf5618a143a6df0a763b
5ieHjeuKirFfPbubRNANdNjxg9yr9rwPbAZBe3Ny8xqB5wGu418yAhBF7DUNVnzUms3yWqeGmx7eCKWng42QnJnY,1970-01-01 07:00:00,ebfab0723015f2377036c4af903993aecd4988fd18ddcd579dfef1bd731740c2,dc39b751d9781eebf6dfd500502abbfd1c313417faf729b9881192430f744a38
sshpzM4iVcSKrEo14CCu5yE2nN1qkNXa2UatRUAdCQvxqL91iqCjEN3RFh6Fz9rQXfo7qKeJkdBxEACXLJBrzZZ,1970-01-01 07:00:00,2bdf3a532c2f92a26f09dac436284e7ccfd896762c745631712982397fee5d8b,0b675460e7584a5a4788e43c146d732c86bc6d4785d6a47511a2869a3c0b8642
3k9wqhoo5LcQBLEsyXQB6CMK3om1TAwo253HfL3psY7WUvhtfkucsuNc93HHToLFerTHRqaxqXnrh5HtYfxDEbAJ,1970-01-01 07:00:00,893fa23b12a31d678df6f40e63bf9c0f35fd0d13196e7da319fae83c9173c59c,8a111bf1d5cd747859ffa2a02eda2c31a205489eb96a021b05d4866f6be9f7dc
ibebhnVjHgYfV5xEdm7KL2xWJh9xjcLgCQCgjdgCGGCrJHCrYeUCUuiBbzCk7BDCR6RzYGT2gspTSxLL82Lqz2z,1970-01-01 07:00:00,23df3bb187472f145bfce4f0512dca509cd44d2b51f343cb02d0027eeaa65f0a,81ed616a54400b1c9afea4f7ff857dc050eb18f767861256b21a5f5c332f664e
4wdM7MvX6T4dwsfpQ7YF6QjqmTRJxw1S6C6UBXCvfx91kEFqqpdYVAdRu2VCPyEcGRxYCfsS3QTMDZV2CHBu2TQ4,1970-01-01 07:00:00,c528b194fa8be3cb127b08edc67016d12777c0a4d551304f65b63f343eca6aa7,8e9c82d2ae301e61d3448e70657fb7d966fe7aa5930fc4cc773d779f87d0d9c9
2Ju6AiAxxVrP3TxvcSDYZP7J2UJbbqMC8fn5chJpJDRmraeBp7Ld2VuesrRv6qUGRePMRZuRp2ZT43KhG3cVpcEo,1970-01-01 07:00:00,41739e04c99280e55cd2b465a61190cad52052d384978634805c5774c718a164,e616ec59d7dc0aac6ef4b370371f8f342b70804271e95c6d04f0cde017776b13
6TVPEg4wLmd8ADbp6UFpRToQwQvdh32RirEuNDTBmFq9sSaAyktbdRWV2t4D4v9WgaQcfHd6YDd2L4Dwe6va1hR,1970-01-01 07:00:00,04b4a64a1cfbae29aa243a41b42b98beffdabe3782aa2d842e260cba8cadc871,17d5d81eccbf30b02a0fcfefa9e53a17bd6c1ccb456b8c78489e8b769bc663fe
2HHKifogVsYEnqcpthZ58YBiXgrHC1XTgecoixk8CFnmHzuZeCNjRPvJ7owPQg4RDLctAsc5aaNHTtcw7SFaSjF2,1970-01-01 07:00:00,400eb72c2dec42a0fd2e714195acedffa0c2325383fefa070c416e747cffd20e,6d7a09fc4873130251b7c2048a365f50303a6f49286a3556e963661643b1b549
2krxrG7rTG6RF4yd48zcTR9FHFdo7FXNgCp3KZjxhhgccncu6JpZcKfH5VjQwxPzV1A3TD4wDMTHgWg3v4Mtdvqb,1970-01-01 07:00:00,57d767fb2e26be1caf908feda1d7f3cef9b459db0eff3fd8c4d9485ab51b9c74,f73bbd3a4d78d6bba24bb65f4b82fbf2497567c014ea22fff3e8999e9c5bf855
3U5Bf84g27XDicRQZprmn87pjR5xBEcaArCNCYHZictuTSodUq3wAJzWwkgRXa6tMbuPRiGFpnstBh53KugKkNuE,1970-01-01 07:00:00,7b61462e220d938fd7fe708476f6f9cf4b416dff18329b44e825607b973f3d17,8ed71423ff4ba5d32edc19e30d61d5f6afb542b22df63215f1a4873784affbda
38CS9PkZXYYwor3Gyx45qGxwNBCRnERgShLPh2KqkPCNjAz2yPTADKw4Jq9Q4XfqVHWhqpf6qpX6kLovWqNBbsig,1970-01-01 07:00:00,6a3d9343a46e22da431ebcb958739dd3328ba14bcde6dc38f7dba0860447693e,949b748f42a9c57d0f3054333fa77ed510b8489668636a7f6922334f10611c2f
F5Jn7d6iBc6k8s1w575tvrrRcb92ZZs8Jnk9LK18NqwMABaFT1CJuxTwfnBo4YyjPxWhemc99G8nnL9nCa3mr6c,1970-01-01 07:00:00,0c2318ee62e4f3574397a3576d4406eb1e5612ff6b911b224ba7c8757b066b42,5197fc4ee8c2c8136c28dc1ace84c2d32a0ffbf91b70534b2332f66a4670a4f8
5UKWhFrewGWhhjjqBpMB4nkc3wnXbed8HPdaX6tFzgCxpYrvJ7aGsu6vF1rXyUqVtqbXRaNXdYFZEa4aqyvs7oe6,1970-01-01 07:00:00,dfa083bfa4d21c1153c479ce061ec952964db5053c95d6aa4f75face239e083e,ca9b03a832cac867460a1b0c4e03c8151b03c6e97cda922792ca1a5e8999955a
ZxCXoxLwMXf8hPjd11A8zA43Ffx2Gj3Bj1q3Dn5Xs5BpEWUULSpvtuF8ze2VcyeXiHKpJNohjCorMUAfnGX4Bas,1970-01-01 07:00:00,1c6a9288fc61f8be5919288075345c4b82ec1f5d9caae724d128e6f9af5fd230,0184bfbba0be9abd81be674212c52651b6bcf255e6a3c68a3748908467687aec
nCW5G5PwQh3CCrHhwqx9hxcqhFsxi7LnhVLGoEx5VZL3SeGueSrcDLvRcpvabQcn1F19YMbMkMFM27xxcTGqaVQ,1970-01-01 07:00:00,26fa30165c632b611bf0644c1821c85380c56755fd291abb61975c116640886f,f88cc20927eb70b1e62a19164907bf7db122e1a8bf1ebe801ddc136cd8f7b06a
4CM3w2Ui8uLKMvH4b8eJ2MtviDyxPf6GvDwXCZES5AkjLXzJpLTpeaDjaFTMdLyob3FtixABC9zV36D8WJtFoU3L,1970-01-01 07:00:00,9fd5c8ce5d3d41f0c4534329ae71496573fcf05b10a70a6f35096dd6f9ad6795,df91445aa1d13bc409544c19e283546d0cddf0503e2e702ab31a646c710caa97
2jRo6YJSWxRBA1bZ98LBY34b5KWbkDbcANCotsNmD2qM1iZNrAG7XhGSz7v13iDtZeyc27JrJSiigL53gWa587x4,1970-01-01 07:00:00,569ad81db14b2ec4cb047b534e30b94f3cc045693ebb04868e1047ebe71aa174,d226945202fff6e5c448eee9e886f8c43430ff0fd7d3c00c16e5e0aeaf93b12b
