signature_hash,block_time_utc,r_component_hex
qv4N5VrJDZWCb1pNWD6fNVRDRNoYxpamaLFQXCtrZeY3LoTqgpPpaBoFYF2YjBappLY1ALxMgXXQSixVKcdBR35,1970-01-01 07:00:00,2a2ea8a2999dae7b9b0acac5a49d739dfb02f2fbd830fa40b6818d2a6904a774
5YDuBAnh4nYfa8bPSyVAPhcMyVDNLRPoE3QNb3FmNNaXRsEkkF2gAtp9mad3QfVYD7UVmrDrTAhirJtc2XJmq5Rk,1970-01-01 07:00:00,e2fe3603b4da9249b126bdc5c2b1e8336c61f9ff6e5919a17a20dc249b56b2ff
3UBHDpftdom2tm4nh2QEFbhyKEsG6heswPpUJ5YDKirEpjcmWCTv3c3amU5xBWfMtTurNFvSoY1gGE6kG4ig35Hr,1970-01-01 07:00:00,7b787a1c5635d146fee7fb8e46957382d3ee61e7a56f3dbd048d1444d8094c12
2iDdegE43NeuyYm4z8jE2bfrLV3AAZ5gFMkpDXHBbjeLUH25PFbTE3suPtsKzdbTwXZJ8B2WhekzwycZ3KbocwFd,1970-01-01 07:00:00,558fc8bfa67b8ae697b5573279f6a6a4e8742aab5ae6959b848d9d00595ead37
5btNxXmysWzJbkiSrWiGMbKnpv2pnrA1HcvPbpBLrqiPqd4Co4ZFuxupStqpkHSZcA52AP6qebyGk8xnS5eXyThC,1970-01-01 07:00:00,e626f799c2b2f38b7ecd627b922541e619bf342fefae03d3b9748426a3b43f0e
27AFi119vTfUu11LmsoHqxGC8jQH3wviDcoKtoz34cDgQthnsUFuXaDrGYnMCp6RcafpcYgxjA5dJ7Lb4RbtvyXa,1970-01-01 07:00:00,37542952cd24c19f44e0f463cfc7b13cfa3b216a2d7c05401b957f920d1057fd
5quJGGuAPAc6AxZzMuYMP8BmoghokM2QeG1j67X15bqHCp4rH86QfYMfNVXoJu7HJsMUWce5jRGbrkNmdmM8eoSt,1970-01-01 07:00:00,f23d2bc5693bc5952645d2e9477f7892954040707f7610bdd0e93017a9965fce
5RewqnWs2wWgREnUfsZ82dMmbZPWDwuvmhDNMHUKGUVYRMSk5jUqpEoZf3PjwzhSmEcVvJjjhVCZde2GRRVVYbYT,1970-01-01 07:00:00,dd5430bae0cf9859f155f5dbdb7e7bf6a02c811ee049e9e0fe666810be6dd9c0
55ewg72Qhsoi99nokCxdoqNY3vWF6ZWDcaXuXMsEhnF5FPX2g57Ef2E2f7Mc7EgYgQwNB124EUgHzeBsBADQwW2K,1970-01-01 07:00:00,cc14e2c057f816f6d2e19ebbc401228bd47c43e891ab2463b8735c3274205d56
5VTPkkChveJNRqq8PMgy3Ue529Er6Vz157pSMAdzptgK75diqEzyCmm5hZx7huCt1VcWd3cUFrsVpziTv5fvjTra,1970-01-01 07:00:00,e09b46319b154c7b74216fe3156f6dc8bdddb7ed93d3b80a9dbbf809770dbc71
44WpMQqM3MzywaS3MCaodyZcbqgbwYzmXJcNv914bFuDK4pCy1t5FCfnRWVDR5ZZ4p9fcjVtnDFMW9GWcen5Xv1,1970-01-01 07:00:00,02a3ab6cfe3d1b1b2441b6b8de775aeea10d22cce21945353b70c753bc6f5ea9
4CwV1FXGq9dfFHynuZ8xabUoKN8SbSSzFX9kuTdsghakZsQUau3q1E2hddM52DFXGZY2pTmh389QPgAwCqXs8dGQ,1970-01-01 07:00:00,a058d7f62947c8645b4b9ebc677ef1582209c4487dc7f17fa05a97a0cfa3398d
ctP2CaYFHNDMHEoscpVesPhbWz54T2FoTuQvbWKNEJa47YuP4wDCzKRg9YHtXwmUKM5zXYHTTEtcMGhQwoYY4h7,1970-01-01 07:00:00,1ef25465d75a1345bdf182e7c05d4797b68e55e50aa309ec3eb7f77abf100770
6386jcs7pGEwYh9iWHfKQAwYofyjQsUE3pmbmy1wRyT6EzWrkhPLBq4QgKjooASXBC6FuDqwPifTSrLPTbsyb3Yk,1970-01-01 07:00:00,fbea4ec2c59f259a888446ef4929d4d0c09dd39974e61a574e6933bca4e4758e
3Kz4yJZF2K3jGopAF32Ti8s4a9C31RR7nm96BKZJPchwBKf8F86gY9RUUWjKz3Z4qfRuKhKAr3qK6ooYZXyMyp54,1970-01-01 07:00:00,7467afba31b38165848a0ee671ff681b2d39b6af08c2ed69dfd27dc8d2c68ec9
3mnjGB3F9qPX8SZg9R3bYUZ9Y1gfaDjVLWbHiSKg6GWURCEo8GLX8ARQwR8PoUFC7CURkBhW9XmCqqHCP5dBd9Yg,1970-01-01 07:00:00,8aa867d4dfc4361acb6bb6f00f73a623995cf23dda7da5b0cb9e1c88dd20b136
pCZrfrMR2hxsX4DirCqjEhwYn6xQpK8MGuWjn9VPDM15Z4m9vJ3fZhdjYK3hXUBWx66fwCWASWCNzpus3Egox5c,1970-01-01 07:00:00,28b3f7289cd8fda2141bac20493fd4e74a629bf0bcf9d7fce8a1804b5ffd6d16
5cdMQb1HGhEorY5yJinpNJ3gR48LqbSYV4mjcvkL1QDAALchFTWAszfws5PbqLJsDbUpM1mb8t6xhjhtkf7nEeAj,1970-01-01 07:00:00,e6ca892969071bea67ef9196c0de361cac089f4b0417da5e0ff71e56cf233e40
3ctCaMYXKk7Tf3486b2UpSx8ac14X2GztgPVK7sVF81wvhLqBmScqAyhQH2EXzBkBcxJUkY2U6G28d74FuFWpM2M,1970-01-01 07:00:00,82fa58ec0616999b99407b485fcccbb668f95aae984eef061f61773dfda0b22a
397qEJBueGmQRL95LSVtDyEYTA8g4G2QWmxEJ7gifuVnuWXQco1svVoeDUS8uHfbKySLswkJB3mDDk3BYwDaUA9o,1970-01-01 07:00:00,6b08d2cc92d1d4d710cee2a0f76af357f23749eef4a4e43f2e211d54305f6cf5
2dRx64aikBz5iikRFPqm4rH3tCeBL5RewezkxHEuuQKganShrxVbBYzARvnCb5R4YvN1bz6s25tcvchcGYB4zu62,1970-01-01 07:00:00,516ed8a06f2243ff9d942c12952344b4a0175fbfd32a8952368ed07af525c954
1kWY5Re7c95SV3wQUFgghijfLVmqLE6Pj8ZQU9Tyq5SecrQW3YfZjvbV3eNcGVokCDem8M6StNs3curevdJVmd3,1970-01-01 07:00:00,00a59bd20efd261378e121a7232401ce7984e4cffb8a6b6371aa3ee449c6e728
3kRxDqyDeCPK2b3KBfNK3PTSn3Qor636AkdoCvAoDns8acPXgE5bcFuqyuuBQAXh2LsG6XA2ayNg7fyvoaYvoTw9,1970-01-01 07:00:00,897c8f32b8574b20194fe341897fe1553b93b4f3c52ef9581d3d0538d330e0d1
364nugUag5AzCdS3KNJxKCKbydVUickzgDBuLhtRfNeaVWg4iNCz5FrMCvXJd8z74juD5ivouhZJ89UpG9T6PWwy,1970-01-01 07:00:00,6866f54d2fcb623a95a5cc4ed64be8d31ed3039e7ece8481745fb1eb25013ffc
5efyE78wUkRSi2o6XuAwJTrVu8mbAkjVhf7qjZUg8wbsJYd6k13VhSzb8D9pBJPzzkkABjKgkKHJRFFRdhtrQh4o,1970-01-01 07:00:00,e88e0744c97cec5e0f83dd6ca6a20833d199129f839eb6d92bbcc310a18efe5e
4K5NKubaBtCR6Ui8xAX6PtREyZfJVXgHDRRNafBwQd17Ca5LJAZ3osL4XTazZtyQkNguhMVtkhxLdxbUgs4bM2Sa,1970-01-01 07:00:00,a5a37198042a706ada800dee6450c6fb70776e4b164bd236bcdada67f702197c
3wMu8jd6sJvV9WftmPXkSnAZuHz9ML8wSwHU6APW9kDqkP5axN6uBadrGXHkxcvgpUxUNQ8YdBBsFMMBV7Dcemg3,1970-01-01 07:00:00,92e98b066c161c95f580daec7e38ea3eabccf868e725e5c727679e2ffa2cbad3
9iQSQS3G3kDBKvFHmBCgnQ1fCLvMbDrwoHqBkPHmHJsxCFeyVJfdiZBVrrqwiuRKCFPpmARCs4iRNCkzLKVZKUf,1970-01-01 07:00:00,0783b6a086b822108f85649f05e41291f3be23ce3ad32d7616e37cc12cf40800
w7TRChRwB13xEthbv1EK7XHmcFNTN5yb1QKBbh2Ufk4siJv9MgjEd2EL6kmJY8ft4ZhpKVE3zTCLgkGAYJSscDV,1970-01-01 07:00:00,2ea9dd3e55edf0373b16cd36781797a5dc907f46259edcf4108163a7e4a2dde7
5bRTm9yEvxyLC6JutDvet2mB3kf6rKmNvdyRbCKQGu4yPoqjEzYTwxXcC7ADm5AiNJuyqWzS1Y1cNZc2nv3C8sFB,1970-01-01 07:00:00,e5c0833f086928d6944d5b7ab3e4df7c9410e02d686bd45a73707e49d71b0b5a
2e7KRqJfftmmjSmkHQUSU3jP2bioJnbZMbr4bFUMXBhU2QGajAtGiejDqcEt2Ssju9dkjWnXK5NbAEC41zcihUQR,1970-01-01 07:00:00,5204b121fad194c2870a222d8be078f5fea5c0f46afd9b135bc7a963b8f5c759
554LYzK5tra7oSCFcXgVT7jQKq92NQJDkSPcX1562KMmaaMjjZiCBr1HxURNE2dKTPAFz9nHcZgJsrpaXbfVDUnb,1970-01-01 07:00:00,cb912ac1c25253fa9eb0a94e4e7709a047455a32eff945baa13793648df845a1
4qt9UkifRHtZEgVwyx3KSvU6kJYUAfEAFhDGuxRYTt6tK2kFmnbHRHYPX7GDnC1s2cScX2u4Mtqm55LbwoFb1YQW,1970-01-01 07:00:00,c0346fc4cda230a2ed8cc33e5059c93a15d018c7f45fb71f7af19e96bc35ad17
48AzRhp2WJGq2uC1J3ZbPQqdkGFe7A6pKRsNy4M6TRg11fSZizdmHRdpbRVpgD8LdCbpsxyJdsemAoHSgeVHG8Lc,1970-01-01 07:00:00,9c3c6ec7f43e4451590376335b4ad82e0be2c45621d1683259c2693e4f9f4e29
5VHi8Y2iTjdYeo66nSJvn5xmd4cwg9L4nKbL9gM7GU5jySe1LXDBzojGur4nr8S86j6PnQuckg6JpSnumP2i4EA8,1970-01-01 07:00:00,e0766acfe6efcedda000932abd6ccb9f772704ae73ef0d70c5e51df328401351
MUEFC85TQMd8dZsoRdxjC5tVRt7EZQS8fFDUwMzsTaFS9jDyKoKnME4rY32GnmDLYKsSg6SdfsCj4oDsfXsDi5c,1970-01-01 07:00:00,11a6eebf5d828adc1e5448c8e22031ca143305be678419ecd6076e551c2dddaa
2WRn1o7PUrVStR7SfLnbVXorm1TJnjCwYq61EKdtenjoT3dGco66VQ3EV656v99w3RrbNpbToiMtaeWFNeVdsPxr,1970-01-01 07:00:00,4b64d513fbbb82948c27c3090ab3b86fa4f53010480c035f22660803805d3940
2u4w5vGh7BAuYP2Yc5QVKT9PdsbeJomYz1yaSyjX2wSP4SiNqhfGKZ5gjDiVPSyK9BV7TqRAm35Ti5UpQReTpgc6,1970-01-01 07:00:00,5eeb15528479465d530e7b688f409448e712341ea05c579e7c2d64fa0fd69d89
k7Poyb4EeqGThzEjzytNeNKrbFceDWVJPLRZ2ApvkUdrfzY1rkNuSAuUoap6DxU8dxNSCxiCKgxEmQAKMy1W4EZ,1970-01-01 07:00:00,252d374b23f63a1b0eb425a99d6c21d9c708d002bf0279514fc172222bf57f40
2VEZCGBFnRY1d1F6YA4STCAJZZA4oiBv43fXBuF7XoTxZw1is7xpuQrNQzXvUVxnLrVCbsJSk8aLLD4zJzs6kKis,1970-01-01 07:00:00,4a5d5b71661bf3ce79f57e738389911505c71a6dfb57bf437dc1986f35627d37
