iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message,initial_balance,intermediate_balance,final_balance,balance_change,signature_match,slot_info
1,2025-07-24T13:14:12.660448Z,ORIGINAL_SEND,RPC_ERROR,,EhDSXVy2hYmexRHH8zKbBKPPsTtwTMGpMtovw1kTbxvH,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.389014,5.389014,5.389014,0.0,N/A,
2,2025-07-24T13:14:29.573136Z,ORIGINAL_SEND,RPC_ERROR,,97ABj2CqfrByATiog5sgje1HzbaRz2BNZanwiezfq9yD,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.389014,5.389014,5.389014,0.0,N/A,
3,2025-07-24T13:14:49.730962Z,ORIGINAL_SEND,SUCCESS,3JcdB4B41CtXSDYCV5g9pPaFEbZjBCXmcYGFq8fyS1NQaWhqUTviyawuDnwy9ykNUCHbn5QvAwaWdE6XKETrex5K,D7BrgDPHoPArGkxzwyFVPDDRwsfzvEhmMA2sguuLSGpw,,5.389014,5.389014,5.389014,0.0,N/A,
3,2025-07-24T13:14:56.570122Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,D7BrgDPHoPArGkxzwyFVPDDRwsfzvEhmMA2sguuLSGpw,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.389014,5.389014,5.389014,0.0,N/A,
3,2025-07-24T13:15:03.432369Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,D7BrgDPHoPArGkxzwyFVPDDRwsfzvEhmMA2sguuLSGpw,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.388999,5.388999,5.388999,0.0,N/A,"current_slot:396475683, last_valid:384429645"
3,2025-07-24T13:15:04.144080Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,D7BrgDPHoPArGkxzwyFVPDDRwsfzvEhmMA2sguuLSGpw,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
3,2025-07-24T13:15:10.122757Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,65eUPMHPcecBx7qiju3kw4mnkHmVsoPfCGv9KrroRhPp,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.388999,5.388999,5.388999,0,N/A,"source:Testnet, target:Devnet"
4,2025-07-24T13:15:27.399649Z,ORIGINAL_SEND,RPC_ERROR,,9xX9WQDn2Ae81dZAJKNzx2jRUqSrArVLL5vFn4DNvfPF,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.388999,5.388999,5.388999,0.0,N/A,
5,2025-07-24T13:15:47.816535Z,ORIGINAL_SEND,SUCCESS,2Vmj3AdskzjJLRyxkpCPrzBYnp3FbTeVB1EkJGSgx48NTY3D2bjAfutrSQJBkgC4WVAXWahfAt32MC9Wj1suzHe1,3occr8Fn2iVqCSrmNmfF4bAsoZDA6k8QZ78jfLnrJsR5,,5.388999,5.388999,5.388999,0.0,N/A,
5,2025-07-24T13:15:54.429713Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,3occr8Fn2iVqCSrmNmfF4bAsoZDA6k8QZ78jfLnrJsR5,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.388999,5.388999,5.388999,0.0,N/A,
