iteration_id,message_hash_hex,r_component_hex,signing_time_microseconds
1,5f409d35cca96c4835c0c4bdf5efcc4abdfe4df2e5ee7d57a1281e89976cb805,1d687760474d5afd8a38b65e518c03803d252892699bafc36acf82322f25962f,723.40000042459
2,0309fdf026c01c339373fa189e341506157af6f3d848a9bd7027018b4a0ec6d6,46216535b07d8fa10e25af798a5a6ce5bce6797f028b6bf14c2dfcec6604087d,282.29999588802457
3,b2975f107f865e609ee6603d33d5817505882fff56a64b986195c7a4d18d01f1,a0abad678df708a4b244a9ec612d44f3dd96b48baeeb0980a4c8da44e4837e87,244.20000409008935
4,c4fe64a7f74256406206fd4e2c1f6c869ddbaa31c069bb036b57b9d20836e181,b28ccf30e9221320c776b67067c119a607ea19db971a8742107ad94817ac7be4,218.29999604960904
5,12753610f832634c58dfafd99f4d87c6e5c03bb6d47b5e39dc1c1f7d6ed879d3,c0b92386a0e870fe21d9a4056e264253081e03477554581b6347a42731f5e10f,233.89999842038378
6,9421af5c4a1d8e65bfc402571112e86c11a9ac7c5a7d8c6c2aff46c26600d4b8,d9c34a838470635dff0c43f66b1daccf9434f117d925c7ebf4f37bc1f4a024d6,214.89999926416203
7,8cfca259a77ce1306de77abf8500f4ca574794211b6837c75432f0fa8e254cd1,fa125f2dfbbbb22ba7f964f07183500d89cda4dca54ac395c17a0d03bd3d93c2,216.4999968954362
8,d5b7d4dd5604fb3009ae3a39ea31f1b04720a90b6fcb11dff442953c7a531d68,c5c4d7b3b6fab75929a703fa9044f06ec804681b5163ca19824b38d6d7cfc6c0,213.4000023943372
9,d0e5074bbf6f03b9923039bab57a025840690b9a6916837021dc988980bf0900,420b17df09bed2eb167422a2a424cc3827195708ba025ddfc3db403c84f70764,219.80000019539148
10,09994df48f5564279983055fd541e3d261b6b677df37483617adf78d3aa1ad9b,dbb943b77982ba878692e6f2194b61941a1ee731d0e27798860956e82c0df8f1,213.99999968707561
11,7bd419c0dccc232633adfca3a00e1829ea1971accb66bd956fca58139601fcc3,2437a059b949491854530c2acb62b948481536e8f5e479b69a76881a08201600,213.20000087143853
12,bd6c7e7a429d7a8987f95a8970fcc437b45253a43242cc3e8e1f0ec41cd7afdb,a75017d6b5fd57a331a7496b13467eb52ebf35c30d1008c54471323e5ff27955,214.10000044852495
13,9f1a044f223dea3caebdd2fe56ddd38bc48f0a1b58e7806a1aec8dcbb53e65b1,86a43373a10928704ed754466fd1d957202bac5171e3ea823e2175f582232857,219.60000594845042
14,0facb55a92afda0c8d2ee6100579455574b73054856bfaec928b2a361b747c26,a83795681b8e496afc25738bed5447d2316cbc284ecc8558abd3ec276be99db8,213.89999892562628
15,0c22d0cf5b08ccc91409ad850459f571db74d2626bb9d98e1c7d2b75c5463c8e,af8c77e33e72f1e93670b56b0598534414a01326851bde3ef885a31195da3ea8,212.99999934853986
16,7743f4c5a7c586aec155267e755cc8a5e79680ec465f0019759a2f1f64b094c2,5db68e98ef2a612668c2de2303ea68928121b4c25ac9908837cf4a331e51bdfa,212.99999934853986
17,e9e057f1763fa5ebeabd05c2fc75c505f7c84714d682c59702665038fc7f995a,97d01f3a9789c480d53bc698d2b2c24c9d349642d577593237d457b58a47a96a,212.69999706419185
18,fdeda26c0be2f76ed4fa50c725c4e3feed26cb39d00ec76869b6230647b8852c,fcffd9adc88cf2b4601df7565dd683e3044adafe2e0f74f812db2b823429e0c7,220.80000053392723
19,0424b251f88a8e19e1034621bd513cf6b5ac73a65bb96ba83c0d7db8515eba24,c8b6c85cc4515377fb3d2137983cbb43fd6bd2f779be007537e722b10e9afb66,213.99999968707561
20,889f69ecd565cb995402d4dbed0b6f5fe8db8255d6f99cd544efe80416757e9a,3203c1428686af52825592e9925c43bf3591d24d38fa9640192904c9b913c1cc,213.30000163288787
21,ff14ccc33c8d58111c9bd1b075605f94d50a2d353365a999068285d65e19d5e0,e8c0b49f7624f0e2bfedabdedf423b9295b55744910878ee4e54dc2d905858b5,212.39999477984384
22,3f1f5062210272b7268624c8315e8bfa11dc5c1c96d9476b466d22970d8c2b6f,ee81b5dbc28620a6e8394134b0caaa21542461f677763331ec979ba9f9f76047,219.39999714959413
23,d276462872b7a026d04f505aa86e5bb6225cbaad3e64dfa05523fcde5cf98490,c0a7115fab5679525d97d01cada993b0f2465013994113d4ad9008cfe322e697,213.50000315578654
24,1f219f67f7f432124f80c91e05b318f3ec4a579ca5a06e0c160163835549a37b,9dd3d0ce5c7a4cc9536b407b827bdecdbb2a6556011668d7994212ca10edc579,212.89999858709052
25,390fd38f715489206b0e51cca994d084b1c94c8d1d81807273161005a679641c,fbcec38fc4b5697c0615ba0ffdb9425c448d56611c19e8032726aaf0bf6b7a58,212.99999934853986
26,b3cc9194671c06b0aee908fe8295f9f725bb6d7e45a448da63b9c91c8ceffaaa,f812d48c60c00e364bdc23daa683ace237e8e9ecb08c94b58808761b88efa9d6,212.49999554129317
27,7655ac1926e69443e7672b57a2a73e12e71027781e9f4c3c40d1a748a929277f,e740027112d85f7f43601d787e474511260134529c1e4a44be55c15711526e47,219.80000019539148
28,4a3dfb60bcf7c84e178c098fc2af159b6fb94f50bc517a1b8094966cbd2df1d9,1ea572cf77e026b41fdaf37dbfa177bf642459ccac7e088a361b94c5ca89f14e,212.5999963027425
29,52e613d5e2a4de0463607f1bad9ae5ee4d62db9c85100ddace020ad145d45e6d,8fd3b9a7607bf9151aadefcc84b69e1c06d16c332776a677010f321641c760ac,214.7999985027127
30,8462487df239a34c8c26e83999ce464b0c81414099ab5b71d79e9d8c6b5d35a2,13a9fd8407fe359d6f2da32a93cf36d8ed48fcf8e14e78ba7bdb959e9c718344,212.5999963027425
31,c02129d93b179f02b3d4d11622eb464664f7cb9f8820e2ddb26ca944b5f21af3,fd7ae13398058f0dbe4b314f604a0b7300c884d578d8e2cfc273ec6b87ae1a9f,218.39999681105837
32,aa23a079807d278cedaaa92b39abe342e7c166ab3990cc11d46ba3bccec461d7,daa18ce3117316fbda3703a626234ae2bd0c7d2e869624a50a94306f7d03a6d0,213.20000087143853
