signature_hash,block_time_utc,r_component_hex
3JTJVM6X6hgSUzv9NV23kW12A9WKfX4FopS1dAEB9n57jqTjyzUeATk3cAeVd7Y4msYheg3uTHU2czdU8yffiSoG,1970-01-01 07:00:00,7315d05fe260039d1c68e5a36cde6b58624e43137ca487a17d7e645f18543fb1
51GgGnk8V1crdvJWs7MM9akMmCjTTD16k8bXAFbrCR9xUAtGhud9MQbsmn3JRtYstPAoEgPHXS86yW5tjyoEUnc5,1970-01-01 07:00:00,c84d13f2d6b2ce337e5227b196d590a160aac0bd7b367037d4f157503df19b4a
3YJJfCA89xmppQ9oG1DVwuGWatnaEYJwkRtgysDGkNz5xfkVE5tAjPCdGqzQ4P9t5oTdcSGjDCMqcM23bZsP3s5h,1970-01-01 07:00:00,7f0646297577a168af8fd3c06176647751fe06a74fa8ec2bcb5f69767f368831
23tCJbcFi1v126z1ge6j94bm8xaFUhaS5kM1bYi1jkeoLfLN5edG5Yj2tgyEriUjwMXArb8CjeHdxmcktQ12mn7b,1970-01-01 07:00:00,3480be504c6b274d6592ac618f0912f4acb2330be1fa2d67fbbb5fc570d8bbdf
26jtbdtCWvx7rnMjXfEaN948KxUe8xCEdSCVDe2iaJtKQXmaLdfgr8hyb2gwyLEp4n6M9dWkFwAVLwkrWvBn1qVg,1970-01-01 07:00:00,36f76cd867dd71c3dde3fdb773e768145783e9de63e44243ca73adf9f98ccc80
3f3r8g557Zd9Hku6A1yzARHG9DsYZQpgr5iRY9nR6NiGeb4NVpi7WmyrW1ypM6K8UfSBFdkWJanWftNPtdUPk27P,1970-01-01 07:00:00,84d89918062bff598600b23497454e62a4bd34af251d2b3c13c3c25ee35772b4
4hLcrhR3ShdujFjztDwV7Axv35tj9dBTAWB19LztsKpAzW5fGGBej4LuDvG22DEGsLk3K187ENT8zQuqSgvAanW4,1970-01-01 07:00:00,b8d6508d18bf8d214a838d6fa1a9da5832975bc0b87e872fa230ce69325078ed
3jHaEBpyswk9bShPnbY8P26kReL1G7tUXttuX2S1TPJ8EsZmbXcXEtBdN9j3gbppndZSEqvB1Uvo1ZJn2dqE7zHf,1970-01-01 07:00:00,887fe6a86910d8b97d736447f8e58456466f1d438fd46f6c17084ea794999ca6
56Q4ykHVVs34qHphK7NDu91fYvSV5m9CwoGGZfnsmtFYE7TxYNonBCYwUV6FaQtRxjuQvZBd3AFrrkFispJBrPnN,1970-01-01 07:00:00,ccb90913b63df4d0ef413d0c5d7a8632755da4db075d1b077bea5805812be480
2aVdXEHeN1d2DQsjVRXoDiieDXHVasBsDTsUYUUAfKr75vzunN3vecP891m1kd4oKpJ7zChmcHV7yEi92GkYFsfb,1970-01-01 07:00:00,4ee68f1368d3a8dff4f7e2c879a2841d98f843624e478a44574b7dac44f04a1e
