iteration_id,timestamp_utc,scenario_name,status,signature,blockhash_used,error_message,initial_balance,intermediate_balance,final_balance,balance_change,signature_match,slot_info
289,2025-07-24T01:34:19.530665Z,ORIGINAL_SEND,RPC_ERROR,,5bsM1PakyBpCECypzBAS5cLsrVyavFXNM2Nq895ULafC,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390289,5.390289,5.390289,0.0,N/A,
290,2025-07-24T01:34:39.375991Z,ORIGINAL_SEND,SUCCESS,5Fyongds3Y1VL3KJEL4SQtQ2FLYpSkh8SzjMV2eM1FqyF8JpFU18Hacmt5RhfR2RF3ZaeKLUJWUDqdgv4kE3sjbU,7GNj4Yr8eeihhUZL3Z828i1rfvGXnpVvvYJv5teksBRC,,5.390289,5.390289,5.390289,0.0,N/A,
290,2025-07-24T01:34:45.518183Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,7GNj4Yr8eeihhUZL3Z828i1rfvGXnpVvvYJv5teksBRC,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390289,5.390289,5.390289,0.0,N/A,
290,2025-07-24T01:34:52.091871Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,7GNj4Yr8eeihhUZL3Z828i1rfvGXnpVvvYJv5teksBRC,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390274,5.390274,5.390274,0.0,N/A,"current_slot:396368024, last_valid:384322038"
290,2025-07-24T01:34:53.249767Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,7GNj4Yr8eeihhUZL3Z828i1rfvGXnpVvvYJv5teksBRC,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
290,2025-07-24T01:34:59.744824Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,DoqRSSHrHqxJWYSNhqWjCDW7Bze5BofrzyC2X66hLeaB,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390274,5.390274,5.390274,0,N/A,"source:Testnet, target:Devnet"
291,2025-07-24T01:35:16.304481Z,ORIGINAL_SEND,RPC_ERROR,,Hg45cnS2yyMntzJ5F42FosFzF9xuNnFnMEEWq16RPhE7,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390274,5.390274,5.390274,0.0,N/A,
292,2025-07-24T01:35:32.855700Z,ORIGINAL_SEND,RPC_ERROR,,AYyjnfHafL4FBM1rZMYLYLLhATKopGpeEU1tTZCRXKhk,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390274,5.390274,5.390274,0.0,N/A,
293,2025-07-24T01:35:52.713543Z,ORIGINAL_SEND,SUCCESS,42HXgwA1FxABapqZe5wFUk1ZzSvGNCXnvTk8u1B9JjpzHRebhn1xQt3SWYtVG2jNgLi8qNwDkWrRGErtoYf1ykSS,GtEdb8M2NGH8HbXoweysvEWgehfxnZgkt5RGDNTZ3Ppv,,5.390274,5.390274,5.390274,0.0,N/A,
293,2025-07-24T01:35:58.876356Z,DIRECT_REPLAY_SCIENTIFIC,REPLAY_REJECTED,,GtEdb8M2NGH8HbXoweysvEWgehfxnZgkt5RGDNTZ3Ppv,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390274,5.390274,5.390274,0.0,N/A,
293,2025-07-24T01:36:05.472293Z,EXPIRED_REPLAY_DETERMINISTIC,EXPIRED_REJECTED_OTHER,,GtEdb8M2NGH8HbXoweysvEWgehfxnZgkt5RGDNTZ3Ppv,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: This transaction has already been processed"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(AlreadyProcessed), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390259,5.390259,5.390259,0.0,N/A,"current_slot:396368215, last_valid:384322227"
293,2025-07-24T01:36:05.982777Z,CROSS_NETWORK_DEVNET_TO_TESTNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,GtEdb8M2NGH8HbXoweysvEWgehfxnZgkt5RGDNTZ3Ppv,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.0,5.0,5.0,0,N/A,"source:Devnet, target:Testnet"
293,2025-07-24T01:36:11.887379Z,CROSS_NETWORK_TESTNET_TO_DEVNET,CROSS_NETWORK_REJECTED_BLOCKHASH,,9isMep9iXKMm9q6oGVNcML6HPxpkBRWPgWwd8c12m8PS,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Blockhash not found"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(BlockhashNotFound), logs: Some([]), accounts: None, units_consumed: Some(0), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390259,5.390259,5.390259,0,N/A,"source:Testnet, target:Devnet"
294,2025-07-24T01:36:28.510811Z,ORIGINAL_SEND,RPC_ERROR,,HjEzFnGskaKUmW9Mifb8zFbBRKYRWuGzZXgwBnivMqtZ,"SendTransactionPreflightFailureMessage { message: ""Transaction simulation failed: Transaction results in an account (1) with insufficient funds for rent"", data: RpcSimulateTransactionResult(RpcSimulateTransactionResult { err: Some(InsufficientFundsForRent { account_index: 1 }), logs: Some([""Program 11111111111111111111111111111111 invoke [1]"", ""Program 11111111111111111111111111111111 success""]), accounts: None, units_consumed: Some(150), return_data: None, inner_instructions: None, replacement_blockhash: None }) }",5.390259,5.390259,5.390259,0.0,N/A,
295,2025-07-24T01:36:47.460459Z,ORIGINAL_SEND,SUCCESS,3xJAdYdmfEzVXw9cDe8b8dbLg2wWBq8oxBP3fxJJ9kTwc59NAAfLFF9mVvHkdnH5f3xwNRXinTVQVF18eG5w8Khw,FWtuR634PsJbj3CgergWB9KJvBzF8QtxAJhHsDYutm5m,,5.390259,5.390259,5.390259,0.0,N/A,
